title_clean,job_count,companies,salary_min,salary_max,skills,company_count,skill_count
Data Center Engineer,1,['ZENLAYER (SINGAPORE) PTE. LTD.'],3000,4000,"['Reading', 'logging bugs', 'Data Center', 'Workplace Safety', 'Putty', 'Documentation', 'SSH', 'Data Engineering', 'Windows OS', 'Audit Management', 'Performance Management', 'Linux']",1,12
Data Center Operation Engineer,1,['WENETWORK PTE. LTD.'],4300,5800,"['Security Clearance', 'Technical Skills', 'Upstream', 'Cooling System Design', 'Electrical Engineering Systems', 'Mission Critical Systems', 'resolved escalations', 'GPU Programming', 'Data Center Management', 'Building Regulations', 'organising work schedules', 'Environmental Control', 'Able To Work Independently', 'Mechanical Engineering', 'BMS', 'Building Management Systems']",1,16
Data Center Product Development Manager,1,['DAYONE DATA CENTERS SINGAPORE PTE. LTD.'],10000,12500,"['Business Travel Arrangements', 'Communication', 'Microsoft Office', 'Medical Degree', 'Factory Acceptance Testing', 'Regulatory Compliance', 'Soft Skills', 'Teaching English as a Second Language', 'Product Testing and Development', 'Power Distribution', 'Test Standards', 'Engineering Leadership', 'Lead Construction', 'Infrastructure', 'Education', 'Industry Knowledge']",1,16
Data Center Production Operations Engineer,1,['MALKOHA PTE. LTD.'],9500,13170,"['Troubleshooting', 'Process Improvement', 'Data Center', 'Physics', 'Scripting', 'Bash', 'SQL', 'Tailoring', 'Team Leadership', 'Python', 'Engineering Support', 'Cabling', 'Rust']",1,13
Data Center Sourcing Manager,2,"['ALLCAN INTERNATIONAL PTE. LTD.', 'ALTUSCLOUD PTE. LTD.']",6000,8000,"['Data Centre Facilities Management', 'Co-location', 'Data Center Architecture', 'Negotiation', 'scientific discipline', 'Information Technology', 'Vendor Management', 'Technology Evaluation', 'Evaluation', 'Project Coordination', 'Vendor Negotiation', 'HPC', 'Data Center', 'Capacity Building', 'Sla Management', 'APAC', 'Supply Chain Engineering', 'Liaise With Technical Teams', 'Great communications skills', 'Strategic Sourcing', 'Capacity Management', 'Sourcing', 'Manufacturing Activities']",2,23
Data Centre Design Specialist,1,['SMART INFORMATION MANAGEMENT SYSTEMS PRIVATE LIMITED'],7000,14000,"['Data Center', 'Interpersonal Skills', 'Floor Plans', 'Information Technology', 'Power Distribution', 'AutoCAD', 'Capacity Management', 'Power Systems', 'Layout', 'Facilities Management']",1,10
Data Centre Engineer,1,['SERVBRIDGE INCORPORATED PTE. LTD.'],2500,4000,"['Teamwork', 'Troubleshooting', 'Cable installations', 'Hardware', 'CCNA', 'Data Center', 'CCNP', 'Networking', 'Routers', 'Incident Management', 'Infrastructure Support']",1,11
Data Centre Manager,1,['ACEXCELLENT CONSULTING PTE. LTD.'],5000,7000,"['Switches', 'Hardware', 'Data Center', 'Clinical Data Management', 'Networking', 'Power Distribution', 'Data Center Management', 'Routers', 'Cabling', 'Linux', 'Facilities Management', 'knowledge of data center']",1,12
Data Centre Operation Manager,1,['TANGSPAC CONSULTING PTE LTD'],13000,17000,"['Troubleshooting', 'ITIL Process', 'Splunk', 'IT Automation', 'Data Center', 'Operations Management', 'Automation Tools', 'Information Technology', 'Batch Processing', 'IT Operations', 'Backup & Recovery', 'Control M Enterprise', 'Data Center Management', 'Autosys', 'Batch Programs', 'Batch Management', 'Infrastructure Support']",1,17
Data Centre Operations Director,1,['HR EXCHANGE PTE. LTD.'],15000,20000,"['Certifications', 'Senior Executive Leadership', 'hands-on skills', 'Chillers', 'HVAC', 'Substation', 'Customer Service Representatives', 'Cooling Towers', 'Stress Management', 'Facilities Management']",1,10
